지역,시도,시군구,노인인구수,치매환자수,기관수,총정원,총현원,노인대비_치매비율,노인대비_치매비율(%),정원차이,부족인원,수용률,판단
전라남도 목포시,전라남도,목포시,60560.5,4119.56,107.0,3316.0,2996.0,0.0680238769494968,6.8,-803.5600000000004,803.5600000000004,0.8,부족
광주광역시 동구,광주광역시,동구,32555.5,2395.38,50.0,1598.0,1408.0,0.07357835081629832,7.36,-797.3800000000001,797.3800000000001,0.67,부족
경상북도 안동시,경상북도,안동시,57337.0,4465.08,65.0,3680.0,3348.0,0.07787432199103546,7.79,-785.0799999999999,785.0799999999999,0.82,부족
경상북도 고령군,경상북도,고령군,14788.5,1166.8200000000002,12.0,383.0,275.0,0.07890049700781013,7.89,-783.8200000000002,783.8200000000002,0.33,부족
경상남도 거제시,경상남도,거제시,52489.0,3157.41,53.0,2376.0,1875.0,0.06015374649926651,6.02,-781.4099999999999,781.4099999999999,0.75,부족
경상남도 통영시,경상남도,통영시,41294.5,2749.94,38.0,1990.0,1755.0,0.06659337199869232,6.66,-759.94,759.94,0.72,부족
경기도 광주시,경기도,광주시,98450.5,5915.4800000000005,120.0,5166.0,4533.0,0.06008582993484036,6.01,-749.4800000000005,749.4800000000005,0.87,부족
충청북도 충주시,충청북도,충주시,68758.5,4901.7699999999995,126.0,4197.0,3588.0,0.07128965873310208,7.13,-704.7699999999995,704.7699999999995,0.86,부족
경상북도 경주시,경상북도,경주시,90387.0,6545.8,122.0,5860.0,5335.0,0.07241970637370418,7.24,-685.8000000000002,685.8000000000002,0.9,부족
전라남도 순천시,전라남도,순천시,75340.0,5233.45,126.0,4563.0,3889.0,0.06946442792673214,6.95,-670.4499999999998,670.4499999999998,0.87,부족
